0,1,2,3,4
2015-01-04,5.265375,5.287225,5.1886,5.21365
2015-01-11,5.16772,5.23628,5.1192,5.1813
2015-01-18,5.04612,5.11208,4.9316,5.00922
2015-01-25,5.003425,5.05355,4.958125,5.008275
2015-02-01,4.9064,4.9219,4.83586,4.8708
2015-02-08,4.89604,4.99954,4.86046,4.94066
2015-02-15,4.99954,5.04354,4.9562,5.0099
2015-02-22,5.00905,5.052725,4.960575,5.009075
2015-03-01,4.9073,4.9736,4.86054,4.90628
2015-03-08,4.93608,4.9671,4.8829,4.92214
2015-03-15,4.9139,4.95888,4.86708,4.90632
2015-03-22,4.76642,4.82464,4.69932,4.77212
2015-03-29,4.94304,4.99306,4.92154,4.96458
2015-04-05,4.888125,4.951425,4.80425,4.871475
2015-04-12,4.84112,4.86646,4.78984,4.8177
2015-04-19,4.73728,4.78162,4.70688,4.7493
2015-04-26,4.74184,4.76462,4.6839,4.70606
2015-05-03,4.55914,4.58464,4.51682,4.54544
2015-05-10,4.51122,4.54792,4.47636,4.51746
2015-05-17,4.50998,4.56474,4.47204,4.52054
2015-05-24,4.52676,4.57096,4.4857,4.5162
2015-05-31,4.414,4.452125,4.358775,4.382875
2015-06-07,4.43716,4.50376,4.41354,4.4658
2015-06-14,4.4888,4.52492,4.44652,4.47264
2015-06-21,4.41166,4.45026,4.36994,4.41104
2015-06-28,4.53948,4.6516,4.51646,4.62316
2015-07-05,4.9845,5.152525,4.9461,5.11415
2015-07-12,5.2173,5.2943,5.16208,5.25518
2015-07-19,5.32316,5.38568,5.2426,5.29672
2015-07-26,5.0292,5.043,4.92756,4.96126
2015-08-02,4.6504,4.68046,4.5584,4.60172
2015-08-09,4.56864,4.61314,4.53498,4.57944
2015-08-16,4.60832,4.68468,4.48808,4.59388
2015-08-23,4.53678,4.59086,4.51274,4.5458
2015-08-30,4.52536,4.58788,4.47064,4.52536
2015-09-06,4.43938,4.46284,4.38648,4.41172
